Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate
4625,1,SENIOR UNIT,1/11/2017,14/12/2017,14/12/2017,Public Housing,208,43,0,43,NORTH BURNETT,CALLIDE
4625,1,SENIOR UNIT,1/11/2017,14/12/2017,27/06/2018,Public Housing,208,43,195,238,NORTH BURNETT,CALLIDE
4625,1,SENIOR UNIT,1/11/2017,1/11/2017,1/11/2017,Public Housing,208,0,0,0,NORTH BURNETT,CALLIDE
4702,3,DETACHED HOUSE,30/06/2017,17/07/2017,17/07/2017,Public Housing,206,17,0,17,ROCKHAMPTON,ROCKHAMPTON
4702,4,DETACHED HOUSE,27/09/2017,9/10/2017,10/10/2017,Public Housing,206,12,1,13,ROCKHAMPTON,ROCKHAMPTON
4702,4,DETACHED HOUSE,15/03/2018,27/03/2018,1/05/2018,Public Housing,206,12,35,47,ROCKHAMPTON,ROCKHAMPTON
4702,3,DETACHED HOUSE,1/09/2017,13/09/2017,20/09/2017,Public Housing,206,12,7,19,ROCKHAMPTON,ROCKHAMPTON
4702,3,DETACHED HOUSE,3/07/2017,19/07/2017,24/07/2017,Public Housing,206,16,5,21,ROCKHAMPTON,ROCKHAMPTON
4702,3,DETACHED HOUSE,17/07/2017,31/07/2017,31/07/2017,Public Housing,206,14,0,14,ROCKHAMPTON,ROCKHAMPTON
4702,4,DETACHED HOUSE,31/07/2017,17/08/2017,22/08/2017,Aboriginal and Torres Strait Islander Housing,206,17,5,22,ROCKHAMPTON,ROCKHAMPTON
4702,4,DETACHED HOUSE,8/09/2017,12/09/2017,22/09/2017,Aboriginal and Torres Strait Islander Housing,206,4,10,14,ROCKHAMPTON,ROCKHAMPTON
4702,3,DETACHED HOUSE,11/12/2017,2/01/2018,8/01/2018,Aboriginal and Torres Strait Islander Housing,206,22,6,28,ROCKHAMPTON,ROCKHAMPTON
4702,3,DETACHED HOUSE,18/01/2018,5/02/2018,19/02/2018,Aboriginal and Torres Strait Islander Housing,206,18,14,32,ROCKHAMPTON,ROCKHAMPTON
4702,3,DETACHED HOUSE,26/03/2018,12/04/2018,2/05/2018,Aboriginal and Torres Strait Islander Housing,206,17,20,37,ROCKHAMPTON,ROCKHAMPTON
4300,3,DETACHED HOUSE,14/08/2017,25/08/2017,28/08/2017,Public Housing,102,11,3,14,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,9/08/2017,29/08/2017,30/08/2017,Public Housing,102,20,1,21,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,27/11/2017,6/12/2017,13/12/2017,Public Housing,102,9,7,16,IPSWICH,BUNDAMBA
4300,4,DETACHED HOUSE,1/11/2017,15/11/2017,23/11/2017,Public Housing,102,14,8,22,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,13/04/2018,25/05/2018,29/05/2018,Public Housing,102,42,4,46,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,10/11/2017,24/11/2017,1/12/2017,Public Housing,102,14,7,21,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,6/09/2017,29/09/2017,12/10/2017,Public Housing,102,23,13,36,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,29/09/2017,20/10/2017,23/10/2017,Public Housing,102,21,3,24,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,20/11/2017,7/12/2017,8/12/2017,Public Housing,102,17,1,18,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,2/08/2017,22/08/2017,29/08/2017,Public Housing,102,20,7,27,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,6/12/2017,12/01/2018,19/01/2018,Public Housing,102,37,7,44,IPSWICH,BUNDAMBA
4300,4,DETACHED HOUSE,11/07/2017,27/07/2017,31/07/2017,Public Housing,102,16,4,20,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,16/01/2018,5/02/2018,9/02/2018,Public Housing,102,20,4,24,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,12/06/2017,23/06/2017,5/07/2017,Public Housing,102,11,12,23,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,23/10/2017,1/11/2017,6/11/2017,Public Housing,102,9,5,14,IPSWICH,BUNDAMBA
4300,2,DUPLEX,16/11/2017,1/12/2017,11/12/2017,Public Housing,102,15,10,25,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,20/03/2018,13/04/2018,26/04/2018,Public Housing,102,24,13,37,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,15/01/2018,31/01/2018,19/02/2018,Public Housing,102,16,19,35,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,19/02/2018,19/04/2018,1/05/2018,Public Housing,102,59,12,71,IPSWICH,BUNDAMBA
4300,3,DETACHED HOUSE,11/09/2017,29/09/2017,11/10/2017,Public Housing,102,18,12,30,IPSWICH,BUNDAMBA
4809,4,DETACHED HOUSE,21/06/2017,10/07/2017,8/08/2017,Public Housing,201,19,29,48,BURDEKIN,BURDEKIN
4680,3,DETACHED HOUSE,28/11/2017,13/12/2017,5/01/2018,Public Housing,212,15,23,38,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,22/11/2017,4/06/2018,Public Housing,212,21,194,215,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,26/03/2018,16/04/2018,29/06/2018,Public Housing,212,21,74,95,GLADSTONE,GLADSTONE
4680,2,DETACHED HOUSE,1/11/2017,22/11/2017,28/03/2018,Public Housing,212,21,126,147,GLADSTONE,GLADSTONE
4680,2,DETACHED HOUSE,5/02/2018,22/02/2018,30/04/2018,Public Housing,212,17,67,84,GLADSTONE,GLADSTONE
4680,2,DETACHED HOUSE,19/07/2017,4/08/2017,17/08/2017,Public Housing,212,16,13,29,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,31/08/2017,15/09/2017,15/09/2017,Public Housing,212,15,0,15,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,21/11/2017,15/12/2017,Public Housing,212,20,24,44,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,20/12/2017,23/03/2018,29/05/2018,Public Housing,212,93,67,160,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,2/02/2018,26/03/2018,26/03/2018,Public Housing,212,52,0,52,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,3/02/2017,15/02/2017,17/08/2017,Public Housing,212,12,183,195,GLADSTONE,GLADSTONE
4680,4,DETACHED HOUSE,11/10/2017,17/10/2017,2/11/2017,Public Housing,212,6,16,22,GLADSTONE,GLADSTONE
4680,4,DETACHED HOUSE,26/03/2018,9/04/2018,23/04/2018,Public Housing,212,14,14,28,GLADSTONE,GLADSTONE
4680,4,DETACHED HOUSE,20/03/2017,7/04/2017,26/07/2017,Public Housing,212,18,110,128,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,20/06/2017,19/07/2017,20/07/2017,Public Housing,212,29,1,30,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,22/12/2017,9/02/2018,15/02/2018,Public Housing,212,49,6,55,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,14/12/2017,28/03/2018,29/03/2018,Public Housing,212,104,1,105,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,16/11/2017,12/02/2018,21/03/2018,Public Housing,212,88,37,125,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,10/11/2017,13/11/2017,13/11/2017,Public Housing,212,3,0,3,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,3/04/2018,11/05/2018,17/05/2018,Public Housing,212,38,6,44,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,22/11/2017,5/01/2018,Public Housing,212,21,44,65,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,3/04/2018,1/05/2018,10/05/2018,Public Housing,212,28,9,37,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,14/12/2017,30/05/2018,Public Housing,212,43,167,210,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,24/11/2017,29/11/2017,Public Housing,212,23,5,28,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,5/12/2017,6/02/2018,7/02/2018,Public Housing,212,63,1,64,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,26/03/2018,16/04/2018,5/06/2018,Public Housing,212,21,50,71,GLADSTONE,GLADSTONE
4680,4,DETACHED HOUSE,1/12/2017,18/12/2017,24/05/2018,Public Housing,212,17,157,174,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,17/11/2017,14/12/2017,Public Housing,212,16,27,43,GLADSTONE,GLADSTONE
4680,4,DETACHED HOUSE,30/06/2017,19/07/2017,21/07/2017,Public Housing,212,19,2,21,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,17/11/2017,18/06/2018,Public Housing,212,16,213,229,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,17/11/2017,25/05/2018,Public Housing,212,16,189,205,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,10/07/2017,12/07/2017,12/07/2017,Public Housing,212,2,0,2,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,17/11/2017,20/06/2018,Public Housing,212,16,215,231,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,18/12/2017,11/05/2018,18/05/2018,Public Housing,212,144,7,151,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,17/11/2017,17/11/2017,Public Housing,212,16,0,16,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,20/10/2017,13/11/2017,22/05/2018,Public Housing,212,24,190,214,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,17/05/2017,14/06/2017,7/08/2017,Public Housing,212,28,54,82,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,17/11/2017,31/05/2018,Public Housing,212,16,195,211,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,12/12/2017,2/01/2018,12/03/2018,Public Housing,212,21,69,90,GLADSTONE,GLADSTONE
4680,4,DETACHED HOUSE,27/04/2017,15/05/2017,3/07/2017,Public Housing,212,18,49,67,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,12/03/2018,30/04/2018,8/05/2018,Public Housing,212,49,8,57,GLADSTONE,GLADSTONE
4680,4,DETACHED HOUSE,24/05/2017,7/06/2017,3/07/2017,Public Housing,212,14,26,40,GLADSTONE,GLADSTONE
4680,4,DETACHED HOUSE,5/06/2018,27/06/2018,27/06/2018,Public Housing,212,22,0,22,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,27/04/2018,12/06/2018,25/06/2018,Public Housing,212,46,13,59,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,17/11/2017,5/12/2017,Public Housing,212,16,18,34,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,14/11/2017,28/05/2018,28/05/2018,Public Housing,212,195,0,195,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,26/02/2018,7/03/2018,7/03/2018,Public Housing,212,9,0,9,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,13/12/2017,1/03/2018,Public Housing,212,42,78,120,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,14/12/2017,16/02/2018,Public Housing,212,43,64,107,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,10/07/2017,14/07/2017,14/07/2017,Public Housing,212,4,0,4,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,14/12/2017,30/05/2018,Public Housing,212,43,167,210,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,12/03/2018,15/03/2018,23/03/2018,Public Housing,212,3,8,11,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,14/12/2017,12/03/2018,Public Housing,212,43,88,131,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,9/05/2018,28/05/2018,28/05/2018,Public Housing,212,19,0,19,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,14/12/2017,27/02/2018,Public Housing,212,43,75,118,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,3/04/2018,3/04/2018,3/04/2018,Public Housing,212,0,0,0,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,14/12/2017,29/03/2018,Public Housing,212,43,105,148,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,22/11/2017,23/03/2018,Public Housing,212,21,121,142,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,5/06/2017,14/06/2017,25/07/2017,Public Housing,212,9,41,50,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,17/11/2017,16/03/2018,Public Housing,212,16,119,135,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,29/01/2018,12/02/2018,22/02/2018,Public Housing,212,14,10,24,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/03/2017,8/03/2017,13/07/2017,Public Housing,212,7,127,134,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,8/05/2017,30/05/2017,10/08/2017,Public Housing,212,22,72,94,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,17/11/2017,27/03/2018,Public Housing,212,16,130,146,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,14/12/2017,19/02/2018,Public Housing,212,43,67,110,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,17/11/2017,23/04/2018,Public Housing,212,16,157,173,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,5/03/2018,16/05/2018,31/05/2018,Public Housing,212,72,15,87,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,13/11/2017,22/11/2017,9/02/2018,Public Housing,212,9,79,88,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,13/11/2017,13/11/2017,13/11/2017,Public Housing,212,0,0,0,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,6/03/2018,29/03/2018,11/04/2018,Public Housing,212,23,13,36,GLADSTONE,GLADSTONE
4680,1,APARTMENT,7/03/2018,20/03/2018,19/06/2018,Public Housing,212,13,91,104,GLADSTONE,GLADSTONE
4680,2,ATTACHED HOUSING,2/02/2018,14/02/2018,23/02/2018,Public Housing,212,12,9,21,GLADSTONE,GLADSTONE
4680,2,ATTACHED HOUSING,2/02/2018,16/02/2018,8/05/2018,Public Housing,212,14,81,95,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,19/03/2018,14/05/2018,22/05/2018,Public Housing,212,56,8,64,GLADSTONE,GLADSTONE
4680,2,ATTACHED HOUSING,29/11/2017,29/11/2017,29/11/2017,Public Housing,212,0,0,0,GLADSTONE,GLADSTONE
4680,2,ATTACHED HOUSING,4/12/2017,15/12/2017,19/02/2018,Public Housing,212,11,66,77,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,2/02/2018,16/02/2018,24/04/2018,Public Housing,212,14,67,81,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,12/12/2017,22/12/2017,Public Housing,212,41,10,51,GLADSTONE,GLADSTONE
4680,2,ATTACHED HOUSING,3/08/2017,23/08/2017,4/09/2017,Public Housing,212,20,12,32,GLADSTONE,GLADSTONE
4680,2,ATTACHED HOUSING,1/11/2017,14/12/2017,6/02/2018,Public Housing,212,43,54,97,GLADSTONE,GLADSTONE
4680,4,DETACHED HOUSE,7/11/2017,29/11/2017,6/03/2018,Public Housing,212,22,97,119,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,22/11/2017,12/12/2017,Public Housing,212,21,20,41,GLADSTONE,GLADSTONE
4680,2,ATTACHED HOUSING,1/11/2017,13/11/2017,8/02/2018,Public Housing,212,12,87,99,GLADSTONE,GLADSTONE
4680,1,SENIOR UNIT,12/03/2018,28/03/2018,9/04/2018,Public Housing,212,16,12,28,GLADSTONE,GLADSTONE
4680,1,SENIOR UNIT,1/11/2017,22/11/2017,4/06/2018,Public Housing,212,21,194,215,GLADSTONE,GLADSTONE
4680,1,SENIOR UNIT,1/11/2017,22/11/2017,11/04/2018,Public Housing,212,21,140,161,GLADSTONE,GLADSTONE
4680,2,APARTMENT,1/11/2017,22/11/2017,5/03/2018,Public Housing,212,21,103,124,GLADSTONE,GLADSTONE
4680,1,APARTMENT,20/03/2017,29/03/2017,22/08/2017,Public Housing,212,9,146,155,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,23/05/2018,21/06/2018,22/06/2018,Public Housing,212,29,1,30,GLADSTONE,GLADSTONE
4680,1,SENIOR UNIT,7/11/2017,21/11/2017,4/04/2018,Public Housing,212,14,134,148,GLADSTONE,GLADSTONE
4680,1,SENIOR UNIT,8/11/2017,20/11/2017,12/02/2018,Public Housing,212,12,84,96,GLADSTONE,GLADSTONE
4680,1,SENIOR UNIT,23/11/2017,6/12/2017,11/04/2018,Public Housing,212,13,126,139,GLADSTONE,GLADSTONE
4680,2,APARTMENT,26/10/2017,9/11/2017,29/06/2018,Public Housing,212,14,232,246,GLADSTONE,GLADSTONE
4680,2,APARTMENT,18/05/2017,19/07/2017,26/07/2017,Public Housing,212,62,7,69,GLADSTONE,GLADSTONE
4680,2,ATTACHED HOUSING,6/02/2018,19/02/2018,1/03/2018,Public Housing,212,13,10,23,GLADSTONE,GLADSTONE
4680,2,ATTACHED HOUSING,1/11/2017,17/11/2017,26/02/2018,Public Housing,212,16,101,117,GLADSTONE,GLADSTONE
4680,2,ATTACHED HOUSING,17/03/2017,28/03/2017,2/08/2017,Public Housing,212,11,127,138,GLADSTONE,GLADSTONE
4680,2,ATTACHED HOUSING,21/05/2018,18/06/2018,28/06/2018,Public Housing,212,28,10,38,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,22/11/2017,20/06/2018,Public Housing,212,21,210,231,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,22/11/2017,30/11/2017,Aboriginal and Torres Strait Islander Housing,212,21,8,29,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,10/05/2018,31/05/2018,4/06/2018,Aboriginal and Torres Strait Islander Housing,212,21,4,25,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,7/11/2017,6/12/2017,29/03/2018,Aboriginal and Torres Strait Islander Housing,212,29,113,142,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,19/12/2017,8/01/2018,12/01/2018,Aboriginal and Torres Strait Islander Housing,212,20,4,24,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,14/12/2017,28/06/2018,Aboriginal and Torres Strait Islander Housing,212,43,196,239,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,29/11/2017,21/12/2017,Public Housing,212,28,22,50,GLADSTONE,GLADSTONE
4680,4,DETACHED HOUSE,3/07/2017,10/07/2017,10/07/2017,Public Housing,212,7,0,7,GLADSTONE,GLADSTONE
4680,4,DETACHED HOUSE,17/07/2017,17/08/2017,17/08/2017,Public Housing,212,31,0,31,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,3/07/2017,7/08/2017,8/08/2017,Public Housing,212,35,1,36,GLADSTONE,GLADSTONE
4680,4,DETACHED HOUSE,3/07/2017,14/07/2017,14/07/2017,Public Housing,212,11,0,11,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,3/07/2017,10/07/2017,10/07/2017,Public Housing,212,7,0,7,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,3/07/2017,10/07/2017,10/07/2017,Public Housing,212,7,0,7,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,1/11/2017,17/11/2017,15/12/2017,Public Housing,212,16,28,44,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,3/07/2017,24/07/2017,29/08/2017,Public Housing,212,21,36,57,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,3/07/2017,5/07/2017,6/07/2017,Public Housing,212,2,1,3,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,2/01/2018,6/02/2018,1/05/2018,Public Housing,212,35,84,119,GLADSTONE,GLADSTONE
4680,3,DETACHED HOUSE,3/07/2017,10/07/2017,10/07/2017,Public Housing,212,7,0,7,GLADSTONE,GLADSTONE
4518,3,DETACHED HOUSE,18/12/2017,10/01/2018,31/01/2018,Public Housing,205,23,21,44,SUNSHINE COAST,GLASS HOUSE
4300,3,DETACHED HOUSE,25/10/2017,1/11/2017,9/11/2017,Public Housing,102,7,8,15,IPSWICH,JORDAN
4300,3,DETACHED HOUSE,4/01/2018,24/01/2018,2/02/2018,Public Housing,102,20,9,29,IPSWICH,JORDAN
4300,3,DETACHED HOUSE,12/12/2017,12/12/2017,12/12/2017,Public Housing,102,0,0,0,IPSWICH,JORDAN
4865,3,DETACHED HOUSE,14/09/2017,21/09/2017,11/10/2017,Public Housing,202,7,20,27,CAIRNS,MULGRAVE
4865,3,DETACHED HOUSE,6/03/2018,7/03/2018,14/03/2018,Public Housing,202,1,7,8,CAIRNS,MULGRAVE
4865,1,SENIOR UNIT,29/05/2017,8/06/2017,4/07/2017,Public Housing,202,10,26,36,CAIRNS,MULGRAVE
4865,1,SENIOR UNIT,8/08/2017,17/08/2017,28/08/2017,Public Housing,202,9,11,20,CAIRNS,MULGRAVE
4865,1,APARTMENT,13/09/2017,14/09/2017,15/09/2017,Public Housing,202,1,1,2,CAIRNS,MULGRAVE
4865,1,APARTMENT,10/08/2017,17/08/2017,13/09/2017,Public Housing,202,7,27,34,CAIRNS,MULGRAVE
4865,1,APARTMENT,16/04/2018,26/04/2018,16/05/2018,Public Housing,202,10,20,30,CAIRNS,MULGRAVE
4865,3,DETACHED HOUSE,21/02/2018,5/03/2018,6/03/2018,Public Housing,202,12,1,13,CAIRNS,MULGRAVE
4390,2,DUPLEX,1/11/2017,14/12/2017,20/04/2018,Public Housing,207,43,127,170,GOONDIWINDI,SOUTHERN DOWNS
4390,2,ATTACHED HOUSING,29/11/2017,8/12/2017,19/12/2017,Public Housing,207,9,11,20,GOONDIWINDI,SOUTHERN DOWNS
4390,1,SENIOR UNIT,1/11/2017,14/12/2017,3/04/2018,Public Housing,207,43,110,153,GOONDIWINDI,SOUTHERN DOWNS
4390,1,SENIOR UNIT,1/11/2017,14/12/2017,1/06/2018,Public Housing,207,43,169,212,GOONDIWINDI,SOUTHERN DOWNS
4570,1,SENIOR UNIT,26/10/2017,10/11/2017,28/11/2017,Public Housing,205,15,18,33,GYMPIE,GYMPIE
4570,1,SENIOR UNIT,22/01/2018,25/01/2018,13/02/2018,Public Housing,205,3,19,22,GYMPIE,GYMPIE
4570,3,DETACHED HOUSE,23/11/2017,27/11/2017,27/11/2017,Public Housing,205,4,0,4,GYMPIE,GYMPIE
4570,2,ATTACHED HOUSING,9/10/2017,18/10/2017,25/10/2017,Public Housing,205,9,7,16,GYMPIE,GYMPIE
4570,1,SENIOR UNIT,5/03/2018,15/03/2018,28/03/2018,Public Housing,205,10,13,23,GYMPIE,GYMPIE
4570,1,APARTMENT,31/07/2017,28/09/2017,23/10/2017,Public Housing,205,59,25,84,GYMPIE,GYMPIE
4570,1,APARTMENT,27/11/2017,11/12/2017,23/01/2018,Public Housing,205,14,43,57,GYMPIE,GYMPIE
4570,1,APARTMENT,22/06/2018,22/06/2018,22/06/2018,Public Housing,205,0,0,0,GYMPIE,GYMPIE
4570,1,APARTMENT,9/08/2017,12/09/2017,19/10/2017,Public Housing,205,34,37,71,GYMPIE,GYMPIE
4570,1,APARTMENT,8/08/2017,18/08/2017,22/09/2017,Public Housing,205,10,35,45,GYMPIE,GYMPIE
4570,1,APARTMENT,8/03/2018,4/04/2018,30/04/2018,Public Housing,205,27,26,53,GYMPIE,GYMPIE
4570,2,CLUSTER HOUSING,3/10/2017,13/10/2017,16/10/2017,Public Housing,205,10,3,13,GYMPIE,GYMPIE
4570,3,CLUSTER HOUSING,11/04/2018,30/04/2018,15/05/2018,Public Housing,205,19,15,34,GYMPIE,GYMPIE
4570,3,CLUSTER HOUSING,18/05/2018,12/06/2018,28/06/2018,Public Housing,205,25,16,41,GYMPIE,GYMPIE
4570,3,CLUSTER HOUSING,23/02/2018,12/03/2018,15/03/2018,Public Housing,205,17,3,20,GYMPIE,GYMPIE
4570,3,CLUSTER HOUSING,24/07/2017,10/08/2017,17/08/2017,Public Housing,205,17,7,24,GYMPIE,GYMPIE
4570,4,DETACHED HOUSE,25/08/2017,4/09/2017,12/09/2017,Public Housing,205,10,8,18,GYMPIE,GYMPIE
4570,3,DETACHED HOUSE,5/04/2018,17/04/2018,20/04/2018,Public Housing,205,12,3,15,GYMPIE,GYMPIE
4570,2,DUPLEX,28/06/2017,10/07/2017,12/07/2017,Public Housing,205,12,2,14,GYMPIE,GYMPIE
4570,2,ATTACHED HOUSING,10/07/2017,25/07/2017,27/07/2017,Public Housing,205,15,2,17,GYMPIE,GYMPIE
4570,2,ATTACHED HOUSING,11/04/2018,24/04/2018,22/05/2018,Public Housing,205,13,28,41,GYMPIE,GYMPIE
4570,3,DETACHED HOUSE,25/05/2018,7/06/2018,14/06/2018,Public Housing,205,13,7,20,GYMPIE,GYMPIE
4570,2,DUPLEX,10/01/2018,19/01/2018,31/01/2018,Public Housing,205,9,12,21,GYMPIE,GYMPIE
4118,3,DETACHED HOUSE,30/05/2018,19/06/2018,20/06/2018,Public Housing,101,20,1,21,LOGAN,ALGESTER
4118,3,DETACHED HOUSE,12/04/2018,1/05/2018,14/05/2018,Public Housing,101,19,13,32,LOGAN,ALGESTER
4806,3,DETACHED HOUSE,22/12/2017,10/01/2018,28/02/2018,Public Housing,201,19,49,68,BURDEKIN,BURDEKIN
4806,1,SENIOR UNIT,6/02/2017,13/02/2017,2/08/2017,Public Housing,201,7,170,177,BURDEKIN,BURDEKIN
4806,1,SENIOR UNIT,10/04/2018,24/04/2018,1/05/2018,Public Housing,201,14,7,21,BURDEKIN,BURDEKIN
4806,1,SENIOR UNIT,6/03/2015,16/03/2015,4/07/2017,Public Housing,201,10,841,851,BURDEKIN,BURDEKIN
4659,3,DETACHED HOUSE,27/02/2018,13/03/2018,4/04/2018,Public Housing,213,14,22,36,FRASER COAST,MARYBOROUGH
4821,3,DETACHED HOUSE,5/09/2017,21/09/2017,23/11/2017,Public Housing,209,16,63,79,FLINDERS,TRAEGER
4821,2,DETACHED HOUSE,1/11/2017,27/11/2017,16/03/2018,Public Housing,209,26,109,135,FLINDERS,TRAEGER
4821,3,DETACHED HOUSE,24/01/2018,31/01/2018,18/05/2018,Public Housing,209,7,107,114,FLINDERS,TRAEGER
4387,2,DETACHED HOUSE,1/11/2017,14/12/2017,19/01/2018,Public Housing,207,43,36,79,GOONDIWINDI,SOUTHERN DOWNS
4850,1,SENIOR UNIT,25/10/2017,7/11/2017,6/02/2018,Public Housing,201,13,91,104,HINCHINBROOK,HINCHINBROOK
4850,4,DETACHED HOUSE,10/01/2018,1/02/2018,15/02/2018,Public Housing,201,22,14,36,HINCHINBROOK,HINCHINBROOK
4850,2,ATTACHED HOUSING,1/09/2017,14/09/2017,26/09/2017,Public Housing,201,13,12,25,HINCHINBROOK,HINCHINBROOK
4850,3,DETACHED HOUSE,15/06/2017,6/07/2017,17/07/2017,Aboriginal and Torres Strait Islander Housing,201,21,11,32,HINCHINBROOK,HINCHINBROOK
