,Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate,Year,Month
7250,4650,4,Apartment,12/04/2018,24/04/2018,24/04/2018,Community Housing,213,12,0,12,FRASER COAST,MARYBOROUGH,2018,2018-04
7251,4870,2,Apartment,19/03/2018,20/03/2018,11/04/2018,Community Housing,202,1,22,23,CAIRNS,CAIRNS,2018,2018-04
7252,4868,2,Apartment,12/02/2018,13/02/2018,13/04/2018,Community Housing,202,1,59,60,CAIRNS,MULGRAVE,2018,2018-04
7253,4178,3,Detached House,21/03/2018,4/04/2018,4/04/2018,Community Housing,109,14,0,14,BRISBANE,LYTTON,2018,2018-04
7254,4878,1,Detached House,4/04/2018,6/04/2018,27/04/2018,Community Housing,202,2,21,23,CAIRNS,BARRON RIVER,2018,2018-04
7255,4170,2,Detached House,4/04/2018,4/04/2018,21/04/2018,Community Housing,109,0,17,17,BRISBANE,BULIMBA,2018,2018-04
7256,4510,3,Detached House,6/02/2018,9/02/2018,20/04/2018,Community Housing,103,3,70,73,MORETON BAY,MORAYFIELD,2018,2018-04
7257,4161,3,Attached Housing,4/04/2018,23/04/2018,23/04/2018,Community Housing,106,19,0,19,REDLAND,CAPALABA,2018,2018-04
7258,4701,2,Detached House,22/03/2018,27/03/2018,18/04/2018,Community Housing,206,5,22,27,ROCKHAMPTON,ROCKHAMPTON,2018,2018-04
7259,4701,2,Apartment,5/03/2018,23/03/2018,17/04/2018,Community Housing,206,18,25,43,ROCKHAMPTON,KEPPEL,2018,2018-04
7260,4700,2,Apartment,13/03/2018,22/03/2018,10/04/2018,Community Housing,206,9,19,28,ROCKHAMPTON,ROCKHAMPTON,2018,2018-04
7261,4013,2,Detached House,16/04/2018,24/04/2018,24/04/2018,Community Housing,105,8,0,8,BRISBANE,NUDGEE,2018,2018-04
7262,4032,2,Detached House,29/03/2018,24/04/2018,24/04/2018,Community Housing,105,26,0,26,BRISBANE,STAFFORD,2018,2018-04
7263,4650,3,Apartment,19/03/2018,6/04/2018,13/04/2018,Community Housing,213,18,7,25,FRASER COAST,MARYBOROUGH,2018,2018-04
7264,4208,3,Apartment,29/03/2018,5/04/2018,13/04/2018,Community Housing,204,7,8,15,GOLD COAST,COOMERA,2018,2018-04
7265,4179,1,Apartment,10/04/2018,19/04/2018,19/04/2018,Community Housing,109,9,0,9,BRISBANE,LYTTON,2018,2018-04
7266,4179,1,Senior Unit,4/04/2018,27/04/2018,27/04/2018,Community Housing,109,23,0,23,BRISBANE,LYTTON,2018,2018-04
7267,4701,2,Apartment,23/03/2018,16/04/2018,17/04/2018,Community Housing,206,24,1,25,ROCKHAMPTON,ROCKHAMPTON,2018,2018-04
7268,4305,4,Senior Unit,12/03/2018,4/04/2018,27/04/2018,Community Housing,102,23,23,46,IPSWICH,IPSWICH WEST,2018,2018-04
7269,4814,3,Senior Unit,19/03/2018,23/03/2018,5/04/2018,Community Housing,201,4,13,17,TOWNSVILLE,MUNDINGBURRA,2018,2018-04
7270,4217,1,Senior Unit,13/04/2018,16/04/2018,17/04/2018,Community Housing,204,3,1,4,GOLD COAST,SURFERS PARADISE,2018,2018-04
7271,4030,1,Senior Unit,3/04/2018,9/04/2018,9/04/2018,Community Housing,108,6,0,6,BRISBANE,CLAYFIELD,2018,2018-04
7272,4305,2,Senior Unit,6/03/2018,21/03/2018,11/04/2018,Community Housing,102,15,21,36,IPSWICH,IPSWICH WEST,2018,2018-04
7273,4510,3,Senior Unit,28/03/2018,10/04/2018,24/04/2018,Community Housing,103,13,14,27,MORETON BAY,MORAYFIELD,2018,2018-04
7274,4011,2,Duplex,7/03/2018,16/04/2018,16/04/2018,Community Housing,108,40,0,40,BRISBANE,CLAYFIELD,2018,2018-04
7275,4010,2,Duplex,16/03/2018,6/04/2018,6/04/2018,Community Housing,108,21,0,21,BRISBANE,CLAYFIELD,2018,2018-04
7276,4655,2,Duplex,29/03/2018,5/04/2018,6/04/2018,Community Housing,213,7,1,8,FRASER COAST,HERVEY BAY,2018,2018-04
7277,4655,2,Senior Unit,28/03/2018,5/04/2018,6/04/2018,Community Housing,213,8,1,9,FRASER COAST,HERVEY BAY,2018,2018-04
7278,4560,3,Senior Unit,24/04/2018,26/04/2018,26/04/2018,Community Housing,205,2,0,2,SUNSHINE COAST,NICKLIN,2018,2018-04
7279,4814,5,Senior Unit,16/04/2018,17/04/2018,27/04/2018,Community Housing,201,1,10,11,TOWNSVILLE,MUNDINGBURRA,2018,2018-04
7280,4814,3,Senior Unit,16/04/2018,17/04/2018,18/04/2018,Community Housing,201,1,1,2,TOWNSVILLE,THURINGOWA,2018,2018-04
7281,4034,3,Apartment,15/01/2018,8/02/2018,10/05/2018,Public Housing,105,24,91,115,BRISBANE,NUDGEE,2018,2018-05
7282,4017,2,Apartment,7/12/2017,10/05/2018,10/05/2018,Public Housing,105,154,0,154,BRISBANE,SANDGATE,2018,2018-05
7283,4012,1,Apartment,14/05/2018,14/05/2018,17/05/2018,Public Housing,105,0,3,3,BRISBANE,NUDGEE,2018,2018-05
7284,4012,1,Senior Unit,17/05/2018,17/05/2018,22/05/2018,Public Housing,105,0,5,5,BRISBANE,NUDGEE,2018,2018-05
7285,4169,1,Senior Unit,8/05/2018,29/05/2018,29/05/2018,Community Housing,108,21,0,21,BRISBANE,SOUTH BRISBANE,2018,2018-05
7286,4101,1,Detached House,21/05/2018,24/05/2018,24/05/2018,Community Housing,108,3,0,3,BRISBANE,SOUTH BRISBANE,2018,2018-05
7287,4006,1,Detached House,2/05/2018,10/05/2018,10/05/2018,Community Housing,108,8,0,8,BRISBANE,MCCONNEL,2018,2018-05
7288,4006,2,Apartment,22/05/2018,29/05/2018,29/05/2018,Community Housing,108,7,0,7,BRISBANE,MCCONNEL,2018,2018-05
7289,4006,1,Apartment,16/05/2018,31/05/2018,31/05/2018,Community Housing,108,15,0,15,BRISBANE,MCCONNEL,2018,2018-05
7290,4670,4,Apartment,22/03/2018,25/05/2018,25/05/2018,Public Housing,208,64,0,64,BUNDABERG,BUNDABERG,2018,2018-05
7291,4870,3,Apartment,28/02/2018,9/03/2018,9/05/2018,Public Housing,202,9,61,70,CAIRNS,CAIRNS,2018,2018-05
7292,4870,1,Apartment,4/05/2018,8/05/2018,10/05/2018,Community Housing,202,4,2,6,CAIRNS,CAIRNS,2018,2018-05
7293,4405,3,Apartment,5/12/2017,15/12/2017,29/05/2018,Community Housing,207,10,165,175,WESTERN DOWNS,WARREGO,2018,2018-05
7295,4720,1,Detached House,22/05/2018,23/05/2018,23/05/2018,Community Housing,211,1,0,1,CENTRAL HIGHLANDS,GREGORY,2018,2018-05
7296,4720,2,Detached House,1/05/2018,17/05/2018,18/05/2018,Community Housing,211,16,1,17,CENTRAL HIGHLANDS,GREGORY,2018,2018-05
7298,4390,3,Senior Unit,4/01/2018,15/01/2018,29/05/2018,Community Housing,207,11,134,145,GOONDIWINDI,SOUTHERN DOWNS,2018,2018-05
7299,4390,3,Apartment,9/01/2018,19/01/2018,23/05/2018,Community Housing,207,10,124,134,GOONDIWINDI,SOUTHERN DOWNS,2018,2018-05
7300,4570,3,Detached House,17/01/2018,18/05/2018,18/05/2018,Public Housing,205,121,0,121,GYMPIE,GYMPIE,2018,2018-05
7301,4220,2,Apartment,19/03/2018,5/04/2018,9/05/2018,Community Housing,204,17,34,51,GOLD COAST,MERMAID BEACH,2018,2018-05
7302,4165,3,Apartment,13/02/2018,21/05/2018,21/05/2018,Public Housing,106,97,0,97,REDLAND,REDLANDS,2018,2018-05
7303,4455,3,Apartment,29/11/2017,18/05/2018,18/05/2018,Community Housing,207,170,0,170,MARANOA,WARREGO,2018,2018-05
7304,4455,3,Dual Occupancy,5/04/2018,19/04/2018,30/05/2018,Community Housing,207,14,41,55,MARANOA,WARREGO,2018,2018-05
7305,4812,1,Detached House,8/05/2018,11/05/2018,14/05/2018,Community Housing,201,3,3,6,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7306,4880,1,Detached House,23/02/2018,26/02/2018,14/05/2018,Community Housing,202,3,77,80,MAREEBA,COOK,2018,2018-05
7307,4728,1,Apartment,1/11/2017,14/12/2017,18/05/2018,Community Housing,211,43,155,198,BARCALDINE,GREGORY,2018,2018-05
7308,4650,1,Apartment,23/05/2018,31/05/2018,31/05/2018,Community Housing,213,8,0,8,FRASER COAST,MARYBOROUGH,2018,2018-05
7309,4114,2,Detached House,19/04/2018,11/05/2018,11/05/2018,Community Housing,101,22,0,22,LOGAN,WOODRIDGE,2018,2018-05
7310,4350,1,Senior Unit,26/05/2000,13/09/2002,22/05/2018,Community Housing,207,840,5730,6570,TOOWOOMBA,TOOWOOMBA SOUTH,2018,2018-05
7311,4428,2,Apartment,13/01/2012,13/01/2012,11/05/2018,Community Housing,207,0,2310,2310,MARANOA,WARREGO,2018,2018-05
7312,4670,1,Apartment,4/04/2018,18/04/2018,3/05/2018,Community Housing,208,14,15,29,BUNDABERG,BUNDABERG,2018,2018-05
7313,4870,1,Apartment,6/04/2018,9/04/2018,3/05/2018,Community Housing,202,3,24,27,CAIRNS,CAIRNS,2018,2018-05
7314,4659,1,Apartment,20/04/2018,3/05/2018,3/05/2018,Community Housing,213,13,0,13,FRASER COAST,MARYBOROUGH,2018,2018-05
7315,4659,1,Apartment,20/04/2018,3/05/2018,3/05/2018,Community Housing,213,13,0,13,FRASER COAST,MARYBOROUGH,2018,2018-05
7316,4735,2,Detached House,2/01/2018,1/05/2018,9/05/2018,Community Housing,211,119,8,127,WINTON,GREGORY,2018,2018-05
7317,4703,3,Apartment,23/03/2018,27/03/2018,1/05/2018,Community Housing,206,4,35,39,LIVINGSTONE,KEPPEL,2018,2018-05
7318,4560,2,Apartment,23/04/2018,18/05/2018,18/05/2018,Community Housing,205,25,0,25,SUNSHINE COAST,NICKLIN,2018,2018-05
7319,4677,2,Dual Occupancy,1/11/2017,14/12/2017,30/05/2018,Community Housing,212,43,167,210,GLADSTONE,BURNETT,2018,2018-05
7320,4870,1,Apartment,4/04/2018,6/04/2018,30/05/2018,Community Housing,202,2,54,56,CAIRNS,CAIRNS,2018,2018-05
7321,4000,2,Apartment,17/04/2018,25/05/2018,25/05/2018,Community Housing,108,38,0,38,BRISBANE,MCCONNEL,2018,2018-05
7322,4030,1,Duplex,27/04/2018,10/05/2018,10/05/2018,Community Housing,108,13,0,13,BRISBANE,CLAYFIELD,2018,2018-05
7323,4030,1,Apartment,5/04/2018,10/05/2018,10/05/2018,Community Housing,108,35,0,35,BRISBANE,CLAYFIELD,2018,2018-05
7324,4670,1,Apartment,20/04/2018,26/04/2018,18/05/2018,Community Housing,208,6,22,28,BUNDABERG,BUNDABERG,2018,2018-05
7325,4560,1,Senior Unit,18/05/2018,23/05/2018,23/05/2018,Community Housing,205,5,0,5,SUNSHINE COAST,NICKLIN,2018,2018-05
7326,4017,4,Apartment,2/05/2018,22/05/2018,22/05/2018,Community Housing,105,20,0,20,BRISBANE,SANDGATE,2018,2018-05
7327,4570,3,Apartment,18/04/2018,9/05/2018,9/05/2018,Community Housing,205,21,0,21,GYMPIE,GYMPIE,2018,2018-05
7328,4701,2,Detached House,18/04/2018,26/04/2018,14/05/2018,Community Housing,206,8,18,26,ROCKHAMPTON,ROCKHAMPTON,2018,2018-05
7329,4305,1,Apartment,5/04/2018,14/05/2018,15/05/2018,Community Housing,102,39,1,40,IPSWICH,IPSWICH WEST,2018,2018-05
7330,4305,1,Apartment,5/04/2018,14/05/2018,15/05/2018,Community Housing,102,39,1,40,IPSWICH,IPSWICH WEST,2018,2018-05
7331,4300,3,Detached House,23/03/2018,13/04/2018,15/05/2018,Community Housing,102,21,32,53,IPSWICH,JORDAN,2018,2018-05
7332,4165,2,Apartment,26/02/2018,6/03/2018,21/05/2018,Public Housing,106,8,76,84,REDLAND,REDLANDS,2018,2018-05
7333,4895,3,Apartment,10/04/2018,10/04/2018,24/05/2018,Community Housing,202,0,44,44,COOK,COOK,2018,2018-05
7334,4703,2,Apartment,6/04/2018,4/05/2018,30/05/2018,Community Housing,206,28,26,54,LIVINGSTONE,KEPPEL,2018,2018-05
7335,4680,3,Apartment,3/04/2018,2/05/2018,30/05/2018,Community Housing,212,29,28,57,GLADSTONE,GLADSTONE,2018,2018-05
7336,4680,3,Apartment,1/11/2017,14/12/2017,30/05/2018,Community Housing,212,43,167,210,GLADSTONE,GLADSTONE,2018,2018-05
7337,4680,3,Apartment,29/03/2018,29/03/2018,30/05/2018,Community Housing,212,0,62,62,GLADSTONE,GLADSTONE,2018,2018-05
7338,4655,1,Apartment,20/04/2018,26/04/2018,9/05/2018,Community Housing,213,6,13,19,FRASER COAST,HERVEY BAY,2018,2018-05
7339,4680,1,Apartment,1/11/2017,14/12/2017,2/05/2018,Community Housing,212,43,139,182,GLADSTONE,GLADSTONE,2018,2018-05
7340,4720,3,Apartment,20/02/2018,13/04/2018,9/05/2018,Community Housing,211,52,26,78,CENTRAL HIGHLANDS,GREGORY,2018,2018-05
7341,4870,1,Apartment,27/04/2018,30/04/2018,16/05/2018,Community Housing,202,3,16,19,CAIRNS,CAIRNS,2018,2018-05
7342,4000,1,Apartment,26/04/2018,4/05/2018,4/05/2018,Community Housing,108,8,0,8,BRISBANE,BRISBANE CENTRAL,2018,2018-05
7343,4000,1,Apartment,16/04/2018,2/05/2018,2/05/2018,Community Housing,108,16,0,16,BRISBANE,BRISBANE CENTRAL,2018,2018-05
7344,4019,1,Apartment,13/04/2018,27/04/2018,29/05/2018,Community Housing,110,14,32,46,MORETON BAY,REDCLIFFE,2018,2018-05
7345,4019,1,Apartment,4/04/2018,10/04/2018,29/05/2018,Community Housing,110,6,49,55,MORETON BAY,REDCLIFFE,2018,2018-05
7346,4350,1,Apartment,25/11/2016,1/12/2016,21/05/2018,Community Housing,207,6,536,542,TOOWOOMBA,TOOWOOMBA SOUTH,2018,2018-05
7347,4220,1,Apartment,12/04/2018,20/04/2018,3/05/2018,Community Housing,204,8,13,21,GOLD COAST,BURLEIGH,2018,2018-05
7348,4157,1,Duplex,4/04/2018,26/04/2018,1/05/2018,Community Housing,106,22,5,27,REDLAND,CAPALABA,2018,2018-05
7349,4157,1,Apartment,20/04/2018,28/05/2018,28/05/2018,Community Housing,106,38,0,38,REDLAND,CAPALABA,2018,2018-05
7350,4157,1,Duplex,22/02/2018,9/04/2018,10/05/2018,Community Housing,106,46,31,77,REDLAND,CAPALABA,2018,2018-05
7351,4007,1,Attached Housing,10/05/2018,31/05/2018,31/05/2018,Community Housing,108,21,0,21,BRISBANE,CLAYFIELD,2018,2018-05
7352,4006,1,Apartment,2/05/2018,29/05/2018,29/05/2018,Community Housing,108,27,0,27,BRISBANE,MCCONNEL,2018,2018-05
7353,4740,2,Apartment,9/05/2018,16/05/2018,23/05/2018,Community Housing,203,7,7,14,MACKAY,MACKAY,2018,2018-05
7354,4812,1,Attached Housing,24/05/2018,29/05/2018,30/05/2018,Community Housing,201,5,1,6,TOWNSVILLE,MUNDINGBURRA,2018,2018-05
7355,4812,1,Duplex,23/04/2018,24/04/2018,2/05/2018,Community Housing,201,1,8,9,TOWNSVILLE,MUNDINGBURRA,2018,2018-05
7356,4812,1,Apartment,23/03/2018,5/04/2018,31/05/2018,Community Housing,201,13,56,69,TOWNSVILLE,MUNDINGBURRA,2018,2018-05
7357,4218,2,Apartment,12/04/2018,3/05/2018,18/05/2018,Community Housing,204,21,15,36,GOLD COAST,MERMAID BEACH,2018,2018-05
7358,4216,2,Apartment,14/05/2018,14/05/2018,17/05/2018,Community Housing,204,0,3,3,GOLD COAST,BROADWATER,2018,2018-05
7359,4703,1,Cluster Housing,22/03/2018,27/03/2018,15/05/2018,Community Housing,206,5,49,54,LIVINGSTONE,KEPPEL,2018,2018-05
7360,4670,1,Apartment,16/05/2018,18/05/2018,29/05/2018,Community Housing,208,2,11,13,BUNDABERG,BUNDABERG,2018,2018-05
7361,4814,1,Apartment,14/05/2018,22/05/2018,22/05/2018,Community Housing,201,8,0,8,TOWNSVILLE,MUNDINGBURRA,2018,2018-05
7362,4510,1,Apartment,1/05/2018,25/05/2018,25/05/2018,Community Housing,103,24,0,24,MORETON BAY,MORAYFIELD,2018,2018-05
7363,4670,1,Apartment,27/04/2018,3/05/2018,4/05/2018,Community Housing,208,6,1,7,BUNDABERG,BUNDABERG,2018,2018-05
7364,4215,1,Apartment,10/04/2018,9/05/2018,9/05/2018,Community Housing,204,29,0,29,GOLD COAST,BONNEY,2018,2018-05
7365,4680,1,Apartment,6/04/2018,6/04/2018,23/05/2018,Community Housing,212,0,47,47,GLADSTONE,GLADSTONE,2018,2018-05
7366,4104,2,Apartment,5/05/2018,8/05/2018,22/05/2018,Community Housing,107,3,14,17,BRISBANE,MILLER,2018,2018-05
7367,4104,2,Apartment,16/05/2018,17/05/2018,28/05/2018,Community Housing,107,1,11,12,BRISBANE,MILLER,2018,2018-05
7368,4814,1,Apartment,25/04/2018,27/04/2018,4/05/2018,Community Housing,201,2,7,9,TOWNSVILLE,MUNDINGBURRA,2018,2018-05
7369,4161,2,Apartment,20/04/2018,8/05/2018,8/05/2018,Community Housing,106,18,0,18,REDLAND,CAPALABA,2018,2018-05
7371,4006,1,Apartment,10/05/2018,11/05/2018,11/05/2018,Community Housing,108,1,0,1,BRISBANE,MCCONNEL,2018,2018-05
7375,4006,1,Duplex,10/05/2018,11/05/2018,11/05/2018,Community Housing,108,1,0,1,BRISBANE,MCCONNEL,2018,2018-05
7378,4059,1,Apartment,17/05/2018,22/05/2018,22/05/2018,Community Housing,108,5,0,5,BRISBANE,MCCONNEL,2018,2018-05
7381,4869,4,Detached House,22/05/2018,23/05/2018,24/05/2018,Community Housing,202,1,1,2,CAIRNS,MULGRAVE,2018,2018-05
7382,4104,1,Apartment,10/05/2018,11/05/2018,31/05/2018,Community Housing,107,1,20,21,BRISBANE,MILLER,2018,2018-05
7383,4670,1,Duplex,9/05/2018,16/05/2018,18/05/2018,Community Housing,208,7,2,9,BUNDABERG,BUNDABERG,2018,2018-05
7384,4868,1,Detached House,27/04/2018,30/04/2018,31/05/2018,Community Housing,202,3,31,34,CAIRNS,MULGRAVE,2018,2018-05
7385,4868,1,Duplex,27/04/2018,30/04/2018,30/05/2018,Community Housing,202,3,30,33,CAIRNS,MULGRAVE,2018,2018-05
7386,4802,1,Apartment,30/04/2018,2/05/2018,11/05/2018,Community Housing,203,2,9,11,WHITSUNDAY,WHITSUNDAY,2018,2018-05
7387,4105,1,Apartment,19/04/2018,23/04/2018,28/05/2018,Community Housing,107,4,35,39,BRISBANE,TOOHEY,2018,2018-05
7388,4012,1,Duplex,12/03/2018,8/05/2018,8/05/2018,Community Housing,105,57,0,57,BRISBANE,NUDGEE,2018,2018-05
7389,4304,2,Duplex,4/04/2018,1/05/2018,1/05/2018,Community Housing,102,27,0,27,IPSWICH,BUNDAMBA,2018,2018-05
7390,4812,1,Dual Occupancy,21/05/2018,27/05/2018,28/05/2018,Community Housing,201,6,1,7,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7391,4455,3,Detached House,30/01/2018,12/02/2018,18/05/2018,Community Housing,207,13,95,108,MARANOA,WARREGO,2018,2018-05
7393,4207,1,Apartment,19/04/2018,2/05/2018,2/05/2018,Community Housing,101,13,0,13,LOGAN,MACALISTER,2018,2018-05
7394,4812,2,Apartment,23/03/2018,25/03/2018,10/05/2018,Community Housing,201,2,46,48,TOWNSVILLE,MUNDINGBURRA,2018,2018-05
7395,4810,2,Detached House,27/04/2018,30/04/2018,21/05/2018,Community Housing,201,3,21,24,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7396,4670,1,Duplex,12/04/2018,16/04/2018,2/05/2018,Community Housing,208,4,16,20,BUNDABERG,BUNDABERG,2018,2018-05
7397,4305,2,Cluster Housing,6/03/2018,4/04/2018,16/05/2018,Community Housing,102,29,42,71,IPSWICH,IPSWICH WEST,2018,2018-05
7398,4305,2,Apartment,13/04/2018,1/05/2018,1/05/2018,Community Housing,102,18,0,18,IPSWICH,IPSWICH WEST,2018,2018-05
7399,4810,2,Attached Housing,13/04/2018,13/04/2018,2/05/2018,Community Housing,201,0,19,19,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7400,4810,2,Attached Housing,8/05/2018,11/05/2018,21/05/2018,Community Housing,201,3,10,13,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7401,4814,4,Apartment,25/04/2018,27/04/2018,28/05/2018,Community Housing,201,2,31,33,TOWNSVILLE,MUNDINGBURRA,2018,2018-05
7402,4102,1,Detached House,30/04/2018,30/04/2018,11/05/2018,Community Housing,107,0,11,11,BRISBANE,SOUTH BRISBANE,2018,2018-05
7403,4550,2,Apartment,11/04/2018,18/05/2018,18/05/2018,Community Housing,205,37,0,37,SUNSHINE COAST,CALOUNDRA,2018,2018-05
7404,4815,2,Apartment,14/05/2018,25/05/2018,29/05/2018,Community Housing,201,11,4,15,TOWNSVILLE,THURINGOWA,2018,2018-05
7405,4171,1,Apartment,11/05/2018,25/05/2018,25/05/2018,Community Housing,109,14,0,14,BRISBANE,BULIMBA,2018,2018-05
7406,4519,2,Apartment,26/04/2018,22/05/2018,22/05/2018,Community Housing,205,26,0,26,SUNSHINE COAST,CALOUNDRA,2018,2018-05
7407,4519,2,Apartment,24/04/2018,22/05/2018,22/05/2018,Community Housing,205,28,0,28,SUNSHINE COAST,CALOUNDRA,2018,2018-05
7408,4350,2,Apartment,9/04/2018,19/04/2018,3/05/2018,Community Housing,207,10,14,24,TOOWOOMBA,TOOWOOMBA NORTH,2018,2018-05
7409,4105,2,Duplex,5/05/2018,8/05/2018,21/05/2018,Community Housing,107,3,13,16,BRISBANE,MILLER,2018,2018-05
7410,4702,2,Apartment,22/03/2018,23/03/2018,14/05/2018,Community Housing,206,1,52,53,ROCKHAMPTON,ROCKHAMPTON,2018,2018-05
7411,4810,1,Apartment,9/05/2018,21/05/2018,21/05/2018,Community Housing,201,12,0,12,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7412,4810,1,Detached House,9/05/2018,17/05/2018,18/05/2018,Community Housing,201,8,1,9,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7413,4701,2,Apartment,16/04/2018,30/04/2018,15/05/2018,Community Housing,206,14,15,29,ROCKHAMPTON,ROCKHAMPTON,2018,2018-05
7414,4701,2,Apartment,16/04/2018,14/05/2018,15/05/2018,Community Housing,206,28,1,29,ROCKHAMPTON,ROCKHAMPTON,2018,2018-05
7415,4503,2,Detached House,24/04/2018,1/05/2018,15/05/2018,Community Housing,103,7,14,21,MORETON BAY,MURRUMBA,2018,2018-05
7416,4701,2,Detached House,1/03/2018,30/04/2018,1/05/2018,Community Housing,206,60,1,61,ROCKHAMPTON,ROCKHAMPTON,2018,2018-05
7417,4101,1,Detached House,18/04/2018,10/05/2018,10/05/2018,Community Housing,108,22,0,22,BRISBANE,SOUTH BRISBANE,2018,2018-05
7418,4101,1,Apartment,24/04/2018,21/05/2018,21/05/2018,Community Housing,108,27,0,27,BRISBANE,SOUTH BRISBANE,2018,2018-05
7419,4101,1,Duplex,16/04/2018,11/05/2018,11/05/2018,Community Housing,108,25,0,25,BRISBANE,SOUTH BRISBANE,2018,2018-05
7420,4101,1,Detached House,2/05/2018,18/05/2018,18/05/2018,Community Housing,108,16,0,16,BRISBANE,SOUTH BRISBANE,2018,2018-05
7421,4101,1,Detached House,20/04/2018,11/05/2018,11/05/2018,Community Housing,108,21,0,21,BRISBANE,SOUTH BRISBANE,2018,2018-05
7422,4101,1,Duplex,11/05/2018,18/05/2018,18/05/2018,Community Housing,108,7,0,7,BRISBANE,SOUTH BRISBANE,2018,2018-05
7423,4101,1,Apartment,2/05/2018,18/05/2018,18/05/2018,Community Housing,108,16,0,16,BRISBANE,SOUTH BRISBANE,2018,2018-05
7424,4802,1,Apartment,3/05/2018,10/05/2018,11/05/2018,Community Housing,203,7,1,8,WHITSUNDAY,WHITSUNDAY,2018,2018-05
7425,4215,2,Detached House,14/05/2018,17/05/2018,18/05/2018,Community Housing,204,3,1,4,GOLD COAST,SOUTHPORT,2018,2018-05
7426,4610,1,Attached Housing,3/05/2018,14/05/2018,15/05/2018,Community Housing,213,11,1,12,SOUTH BURNETT,NANANGO,2018,2018-05
7427,4350,3,Apartment,5/04/2018,30/04/2018,3/05/2018,Community Housing,207,25,3,28,TOOWOOMBA,TOOWOOMBA NORTH,2018,2018-05
7428,4880,2,Apartment,14/05/2018,17/05/2018,31/05/2018,Community Housing,202,3,14,17,MAREEBA,COOK,2018,2018-05
7429,4880,3,Detached House,3/05/2018,3/05/2018,11/05/2018,Community Housing,202,0,8,8,MAREEBA,COOK,2018,2018-05
7430,4655,2,Apartment,18/04/2018,2/05/2018,2/05/2018,Community Housing,213,14,0,14,FRASER COAST,HERVEY BAY,2018,2018-05
7432,4655,3,Apartment,1/05/2018,10/05/2018,14/05/2018,Community Housing,213,9,4,13,FRASER COAST,HERVEY BAY,2018,2018-05
7433,4655,3,Detached House,1/05/2018,15/05/2018,24/05/2018,Community Housing,213,14,9,23,FRASER COAST,HERVEY BAY,2018,2018-05
7434,4670,2,Duplex,23/05/2018,25/05/2018,29/05/2018,Community Housing,208,2,4,6,BUNDABERG,BUNDABERG,2018,2018-05
7435,4178,2,Duplex,30/11/2017,11/05/2018,11/05/2018,Community Housing,109,162,0,162,BRISBANE,LYTTON,2018,2018-05
7436,4812,2,Duplex,22/04/2018,26/04/2018,8/05/2018,Community Housing,201,4,12,16,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7437,4812,2,Detached House,18/04/2018,3/05/2018,28/05/2018,Community Housing,201,15,25,40,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7438,4817,3,Detached House,28/04/2018,4/05/2018,27/05/2018,Community Housing,201,6,23,29,TOWNSVILLE,THURINGOWA,2018,2018-05
7439,4810,2,Detached House,2/05/2018,3/05/2018,18/05/2018,Community Housing,201,1,15,16,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7440,4011,2,Detached House,12/04/2018,3/05/2018,3/05/2018,Community Housing,108,21,0,21,BRISBANE,CLAYFIELD,2018,2018-05
7441,4054,2,Detached House,20/04/2018,16/05/2018,16/05/2018,Community Housing,108,26,0,26,BRISBANE,FERNY GROVE,2018,2018-05
7442,4869,4,Detached House,5/04/2018,6/04/2018,16/05/2018,Community Housing,202,1,40,41,CAIRNS,MULGRAVE,2018,2018-05
7443,4700,2,Apartment,11/04/2018,19/04/2018,2/05/2018,Community Housing,206,8,13,21,ROCKHAMPTON,ROCKHAMPTON,2018,2018-05
7444,4506,2,Apartment,17/04/2018,20/04/2018,8/05/2018,Community Housing,103,3,18,21,MORETON BAY,MORAYFIELD,2018,2018-05
7445,4106,2,Detached House,19/04/2018,20/04/2018,4/05/2018,Community Housing,107,1,14,15,BRISBANE,TOOHEY,2018,2018-05
7446,4870,2,Detached House,19/03/2018,20/03/2018,11/05/2018,Community Housing,202,1,52,53,CAIRNS,CAIRNS,2018,2018-05
7447,4868,3,Apartment,16/05/2018,17/05/2018,22/05/2018,Community Housing,202,1,5,6,CAIRNS,MULGRAVE,2018,2018-05
7448,4810,2,Apartment,16/04/2018,23/04/2018,3/05/2018,Community Housing,201,7,10,17,TOWNSVILLE,TOWNSVILLE,2018,2018-05
7449,4870,1,Apartment,12/04/2018,1/05/2018,4/05/2018,Community Housing,202,19,3,22,CAIRNS,CAIRNS,2018,2018-05
7450,4870,1,Apartment,10/05/2018,10/05/2018,29/05/2018,Community Housing,202,0,19,19,CAIRNS,CAIRNS,2018,2018-05
7451,4870,2,Apartment,17/04/2018,18/04/2018,2/05/2018,Community Housing,202,1,14,15,CAIRNS,CAIRNS,2018,2018-05
